score,time,label,n,contrast,subject
-0.008362845897855832,-0.15,t3_s1,3753,wordfreq,04
0.02808968484308594,-0.14,t3_s1,3753,wordfreq,04
0.02974372728941779,-0.13,t3_s1,3753,wordfreq,04
0.0020209565956698546,-0.12,t3_s1,3753,wordfreq,04
0.0015845536407754096,-0.11,t3_s1,3753,wordfreq,04
0.014080653682350237,-0.1,t3_s1,3753,wordfreq,04
0.021832183735298414,-0.09,t3_s1,3753,wordfreq,04
0.002299381144404804,-0.08,t3_s1,3753,wordfreq,04
0.014811305300232367,-0.07,t3_s1,3753,wordfreq,04
0.006852945619531162,-0.06,t3_s1,3753,wordfreq,04
-0.010225610821971272,-0.05,t3_s1,3753,wordfreq,04
-0.005863649909543356,-0.04,t3_s1,3753,wordfreq,04
-0.02447632001268627,-0.03,t3_s1,3753,wordfreq,04
-0.010906014795596287,-0.02,t3_s1,3753,wordfreq,04
0.00797312944522125,-0.01,t3_s1,3753,wordfreq,04
0.02402396591124182,0.0,t3_s1,3753,wordfreq,04
-0.014187388859553571,0.01,t3_s1,3753,wordfreq,04
-0.0013375712902692983,0.02,t3_s1,3753,wordfreq,04
0.012419653274753724,0.03,t3_s1,3753,wordfreq,04
-0.00492198969093506,0.04,t3_s1,3753,wordfreq,04
0.005091011063190442,0.05,t3_s1,3753,wordfreq,04
-0.000853034388500635,0.06,t3_s1,3753,wordfreq,04
0.00813307098066944,0.07,t3_s1,3753,wordfreq,04
-0.035679145210696914,0.08,t3_s1,3753,wordfreq,04
-0.023381441443039348,0.09,t3_s1,3753,wordfreq,04
-0.024663415505146082,0.1,t3_s1,3753,wordfreq,04
-0.023040200369284013,0.11,t3_s1,3753,wordfreq,04
0.0011031400829647066,0.12,t3_s1,3753,wordfreq,04
0.012631732528770303,0.13,t3_s1,3753,wordfreq,04
0.006139034003180734,0.14,t3_s1,3753,wordfreq,04
-0.01285606066711272,0.15,t3_s1,3753,wordfreq,04
-0.006423067916180842,0.16,t3_s1,3753,wordfreq,04
-0.015249462408406675,0.17,t3_s1,3753,wordfreq,04
-0.023185284089356075,0.18,t3_s1,3753,wordfreq,04
0.02532997969724319,0.19,t3_s1,3753,wordfreq,04
0.061133111606553735,0.2,t3_s1,3753,wordfreq,04
0.040416125803696086,0.21,t3_s1,3753,wordfreq,04
0.04026411266184707,0.22,t3_s1,3753,wordfreq,04
0.05643793641062939,0.23,t3_s1,3753,wordfreq,04
0.04574428891004107,0.24,t3_s1,3753,wordfreq,04
0.018485432106094445,0.25,t3_s1,3753,wordfreq,04
0.006664626423183664,0.26,t3_s1,3753,wordfreq,04
0.0034019253914879415,0.27,t3_s1,3753,wordfreq,04
0.026875477941062095,0.28,t3_s1,3753,wordfreq,04
0.02274486811984341,0.29,t3_s1,3753,wordfreq,04
0.047052903158276635,0.3,t3_s1,3753,wordfreq,04
0.04041760970020345,0.31,t3_s1,3753,wordfreq,04
0.044864476719713955,0.32,t3_s1,3753,wordfreq,04
0.03754918778194281,0.33,t3_s1,3753,wordfreq,04
0.04146574878443546,0.34,t3_s1,3753,wordfreq,04
0.0518050046228324,0.35,t3_s1,3753,wordfreq,04
0.07075720784098545,0.36,t3_s1,3753,wordfreq,04
0.06117648102145729,0.37,t3_s1,3753,wordfreq,04
0.038322247084031535,0.38,t3_s1,3753,wordfreq,04
0.041626880578374166,0.39,t3_s1,3753,wordfreq,04
0.05198402453520915,0.4,t3_s1,3753,wordfreq,04
0.03564483600395847,0.41,t3_s1,3753,wordfreq,04
0.010268294874816937,0.42,t3_s1,3753,wordfreq,04
0.0518530264685196,0.43,t3_s1,3753,wordfreq,04
0.05945217504588866,0.44,t3_s1,3753,wordfreq,04
